latecny Avg(),Latency SD (),latency max (),\nTransfer/sec:,,If SLA Violation,,,
29.66,9.6,65.44,1527.92\nTransfer/sec:,"510.25KB\n"")",0,average latency,98.70909823,ms
29.52,9.5,64.61,1531.66\nTransfer/sec:,"511.50KB\n"")",0,counif SLA violation,645,
63.61,158.52,1.80s,1531.92\nTransfer/sec:,"511.59KB\n"")",1,SLA violation %,10.37811746,%
45.9,93.99,976.9,1531.88\nTransfer/sec:,"511.58KB\n"")",0,,,
71.63,198.22,1.97s,1531.84\nTransfer/sec:,"511.56KB\n"")",1,,,
69.78,201.07,1.84s,1531.71\nTransfer/sec:,"511.52KB\n"")",1,,,
52.08,134.81,1.76s,1531.90\nTransfer/sec:,"511.58KB\n"")",0,,,
48.49,73.95,971.26,1525.89\nTransfer/sec:,"509.57KB\n"")",0,,,
31.71,28.38,490.24,1501.60\nTransfer/sec:,"501.46KB\n"")",0,,,
32.97,10.13,70.02,1531.74\nTransfer/sec:,"511.53KB\n"")",0,,,
32.76,10.15,65.15,1531.96\nTransfer/sec:,"511.60KB\n"")",0,,,
79.08,226.53,1.88s,1528.13\nTransfer/sec:,"510.32KB\n"")",1,,,
40.62,79.1,951.3,1534.83\nTransfer/sec:,"512.56KB\n"")",0,,,
86.06,245.71,1.84s,1537.64\nTransfer/sec:,"513.50KB\n"")",1,,,
81.54,217.49,2.04s,1535.90\nTransfer/sec:,"512.92KB\n"")",1,,,
86.14,242.35,2.05s,1544.59\nTransfer/sec:,"515.82KB\n"")",1,,,
45.64,108.59,1.79s,1548.54\nTransfer/sec:,"517.14KB\n"")",0,,,
65.31,130.35,1.25s,1545.40\nTransfer/sec:,"516.09KB\n"")",1,,,
32.98,10.16,65.38,1554.54\nTransfer/sec:,"519.14KB\n"")",0,,,
32.79,10.12,63.87,1556.41\nTransfer/sec:,"519.77KB\n"")",0,,,
43.97,88.96,975.36,1560.42\nTransfer/sec:,"521.11KB\n"")",0,,,
96.24,253.54,2.02s,1561.20\nTransfer/sec:,"521.37KB\n"")",1,,,
51.55,86.94,964.1,1570.36\nTransfer/sec:,"524.43KB\n"")",0,,,
48.56,104.82,1.68s,1580.13\nTransfer/sec:,"527.69KB\n"")",0,,,
46.52,96.52,988.16,1587.15\nTransfer/sec:,"530.03KB\n"")",0,,,
50.46,113.5,1.69s,1589.98\nTransfer/sec:,"530.98KB\n"")",0,,,
84.97,241.08,1.83s,1593.95\nTransfer/sec:,"532.31KB\n"")",1,,,
33.07,10.26,265.47,1590.39\nTransfer/sec:,"531.12KB\n"")",0,,,
33.16,10.13,67.58,1597.87\nTransfer/sec:,"533.61KB\n"")",0,,,
33.07,11.23,369.15,1595.96\nTransfer/sec:,"532.98KB\n"")",0,,,
53.99,122.86,1.69s,1597.97\nTransfer/sec:,"533.65KB\n"")",0,,,
50.66,110.77,980.99,1601.79\nTransfer/sec:,"534.92KB\n"")",0,,,
100.04,276.76,1.85s,1603.78\nTransfer/sec:,"535.59KB\n"")",1,,,
64.07,195.93,1.77s,1605.82\nTransfer/sec:,"536.27KB\n"")",1,,,
42.51,82.02,950.78,1607.72\nTransfer/sec:,"536.90KB\n"")",0,,,
87.79,247.73,1.84s,1613.62\nTransfer/sec:,"538.87KB\n"")",1,,,
42.34,82.17,986.11,1609.73\nTransfer/sec:,"537.58KB\n"")",0,,,
32.63,10.15,83.58,1617.61\nTransfer/sec:,"540.21KB\n"")",0,,,
41.04,17.63,256.13,1613.39\nTransfer/sec:,"538.80KB\n"")",0,,,
52.79,117.48,1.00s,1620.29\nTransfer/sec:,"541.10KB\n"")",0,,,
45.47,101.68,1.74s,1620.54\nTransfer/sec:,"541.19KB\n"")",0,,,
49.27,106.1,981.5,1623.51\nTransfer/sec:,"542.18KB\n"")",0,,,
114.47,304.7,1.96s,1622.46\nTransfer/sec:,"541.83KB\n"")",1,,,
79.09,240.47,1.84s,1620.64\nTransfer/sec:,"541.22KB\n"")",1,,,
79.83,226.66,1.96s,1617.69\nTransfer/sec:,"540.24KB\n"")",1,,,
47.75,80.19,1.82s,1588.19\nTransfer/sec:,"530.38KB\n"")",0,,,
33.11,10.45,101.44,1615.76\nTransfer/sec:,"539.59KB\n"")",0,,,
33.21,10.11,75.26,1616.81\nTransfer/sec:,"539.94KB\n"")",0,,,
62.95,81.43,960,1605.07\nTransfer/sec:,"536.02KB\n"")",1,,,
52.76,91.94,1.00s,1611.25\nTransfer/sec:,"538.08KB\n"")",0,,,
60.37,181.84,1.82s,1615.59\nTransfer/sec:,"539.53KB\n"")",1,,,
76.37,118.73,1.06s,1602.66\nTransfer/sec:,"535.22KB\n"")",1,,,
55.18,124.44,1.00s,1609.66\nTransfer/sec:,"537.55KB\n"")",0,,,
46.52,99.62,985.09,1604.73\nTransfer/sec:,"535.90KB\n"")",0,,,
51.34,141.82,1.79s,1599.73\nTransfer/sec:,"534.23KB\n"")",0,,,
36.53,55.37,899.58,1598.74\nTransfer/sec:,"533.90KB\n"")",0,,,
49.75,23.15,253.44,1590.68\nTransfer/sec:,"531.21KB\n"")",0,,,
32.89,10.16,72.51,1592.00\nTransfer/sec:,"531.65KB\n"")",0,,,
66.68,205.73,1.82s,1590.98\nTransfer/sec:,"531.32KB\n"")",1,,,
53.01,117.25,1.00s,1592.94\nTransfer/sec:,"531.97KB\n"")",0,,,
62.86,151.66,1.82s,1587.11\nTransfer/sec:,"530.02KB\n"")",1,,,
118.57,353.56,3.37s,1591.01\nTransfer/sec:,"531.32KB\n"")",1,,,
49.6,105.11,998.4,1590.93\nTransfer/sec:,"531.30KB\n"")",0,,,
84.86,232.66,1.83s,1584.77\nTransfer/sec:,"529.24KB\n"")",1,,,
38.66,68.73,981.5,1570.94\nTransfer/sec:,"524.62KB\n"")",0,,,
33.12,10.17,72,1584.01\nTransfer/sec:,"528.99KB\n"")",0,,,
40.2,16.24,181.89,1576.98\nTransfer/sec:,"526.64KB\n"")",0,,,
43.64,81.67,956.42,1582.03\nTransfer/sec:,"528.32KB\n"")",0,,,
86.05,245.28,1.84s,1583.01\nTransfer/sec:,"528.65KB\n"")",1,,,
54.15,134.14,1.95s,1580.99\nTransfer/sec:,"527.98KB\n"")",0,,,
41.86,79.94,946.69,1581.24\nTransfer/sec:,"528.06KB\n"")",0,,,
54.01,145.73,1.84s,1581.13\nTransfer/sec:,"528.02KB\n"")",0,,,
42.9,82.3,972.29,1582.06\nTransfer/sec:,"528.33KB\n"")",0,,,
57.64,149.56,1.76s,1585.03\nTransfer/sec:,"529.33KB\n"")",0,,,
33.25,10.15,69.95,1584.94\nTransfer/sec:,"529.30KB\n"")",0,,,
39.88,16.2,240.26,1580.36\nTransfer/sec:,"527.77KB\n"")",0,,,
81.94,240.96,1.88s,1583.17\nTransfer/sec:,"528.70KB\n"")",1,,,
44.49,101.5,1.74s,1580.21\nTransfer/sec:,"527.72KB\n"")",0,,,
48.67,105.67,983.04,1578.11\nTransfer/sec:,"527.02KB\n"")",0,,,
40.31,78.77,939.52,1578.17\nTransfer/sec:,"527.04KB\n"")",0,,,
56.89,146.23,1.71s,1576.12\nTransfer/sec:,"526.35KB\n"")",0,,,
43.36,93.45,1.68s,1575.18\nTransfer/sec:,"526.04KB\n"")",0,,,
87.86,247.68,1.88s,1570.45\nTransfer/sec:,"524.46KB\n"")",1,,,
31.98,11.4,64.26,1574.98\nTransfer/sec:,"525.97KB\n"")",0,,,
32.99,10.22,80.26,1573.23\nTransfer/sec:,"525.39KB\n"")",0,,,
47.16,22.33,242.94,1569.00\nTransfer/sec:,"523.97KB\n"")",0,,,
50.66,112.4,1.69s,1571.28\nTransfer/sec:,"524.73KB\n"")",0,,,
79.4,224.64,1.96s,1569.12\nTransfer/sec:,"524.01KB\n"")",1,,,
52.33,84.15,953.86,1563.86\nTransfer/sec:,"522.26KB\n"")",0,,,
48.72,103.67,1.09s,1567.22\nTransfer/sec:,"523.38KB\n"")",0,,,
45.67,97.56,1.68s,1566.28\nTransfer/sec:,"523.06KB\n"")",0,,,
67.17,99.09,1.01s,1554.84\nTransfer/sec:,"519.24KB\n"")",1,,,
41.27,84.4,1.69s,1520.57\nTransfer/sec:,"507.80KB\n"")",0,,,
39.05,16.65,245.76,1555.34\nTransfer/sec:,"519.41KB\n"")",0,,,
33.6,10.15,71.36,1559.44\nTransfer/sec:,"520.78KB\n"")",0,,,
58.84,103.72,1.72s,1554.63\nTransfer/sec:,"519.17KB\n"")",0,,,
43.82,82.87,975.36,1561.32\nTransfer/sec:,"521.41KB\n"")",0,,,
42.57,83.35,956.93,1560.47\nTransfer/sec:,"521.13KB\n"")",0,,,
52.04,92.18,957.44,1553.35\nTransfer/sec:,"518.74KB\n"")",0,,,
46.96,94.72,1.23s,1558.29\nTransfer/sec:,"520.39KB\n"")",0,,,
49.76,73.8,958.46,1550.94\nTransfer/sec:,"517.94KB\n"")",0,,,
55.79,167.32,1.80s,1550.45\nTransfer/sec:,"517.78KB\n"")",0,,,
31.51,21.96,454.66,1548.37\nTransfer/sec:,"517.08KB\n"")",0,,,
33.34,10.11,62.98,1541.66\nTransfer/sec:,"514.84KB\n"")",0,,,
32.9,10.12,62.66,1539.56\nTransfer/sec:,"514.14KB\n"")",0,,,
41.24,18.78,622.08,1532.31\nTransfer/sec:,"511.72KB\n"")",0,,,
45.19,104.5,1.78s,1536.72\nTransfer/sec:,"513.19KB\n"")",0,,,
42.46,85.61,945.15,1540.70\nTransfer/sec:,"514.52KB\n"")",0,,,
68.07,148.29,1.80s,1535.32\nTransfer/sec:,"512.72KB\n"")",1,,,
64.52,131.54,1.79s,1534.74\nTransfer/sec:,"512.53KB\n"")",1,,,
87.13,240.38,1.88s,1534.75\nTransfer/sec:,"512.53KB\n"")",1,,,
82.71,211.35,1.86s,1535.97\nTransfer/sec:,"512.94KB\n"")",1,,,
72.5,231.02,1.99s,1540.57\nTransfer/sec:,"514.48KB\n"")",1,,,
47.74,22.81,235.26,1533.53\nTransfer/sec:,"512.12KB\n"")",0,,,
43.78,20.02,250.11,1532.80\nTransfer/sec:,"511.88KB\n"")",0,,,
65.95,130.07,1.95s,1530.13\nTransfer/sec:,"510.99KB\n"")",1,,,
94.35,245.28,1.87s,1527.60\nTransfer/sec:,"510.15KB\n"")",1,,,
59.18,145.69,1.76s,1529.76\nTransfer/sec:,"510.87KB\n"")",0,,,
85.14,235.78,1.96s,1526.68\nTransfer/sec:,"509.84KB\n"")",1,,,
45.47,111.46,1.76s,1524.91\nTransfer/sec:,"509.25KB\n"")",0,,,
48.66,103.3,979.46,1524.08\nTransfer/sec:,"508.97KB\n"")",0,,,
38.54,67.86,917.5,1496.44\nTransfer/sec:,"499.74KB\n"")",0,,,
33.43,10.12,66.5,1521.90\nTransfer/sec:,"508.24KB\n"")",0,,,
40.8,17.37,207.36,1514.87\nTransfer/sec:,"505.89KB\n"")",0,,,
69.53,205.85,1.87s,1518.99\nTransfer/sec:,"507.27KB\n"")",1,,,
54.15,149.19,1.80s,1513.08\nTransfer/sec:,"505.30KB\n"")",0,,,
62.85,117.57,1.04s,1509.37\nTransfer/sec:,"504.06KB\n"")",1,,,
57.53,147.68,1.79s,1509.07\nTransfer/sec:,"503.96KB\n"")",0,,,
45.21,92.39,1.18s,1505.89\nTransfer/sec:,"502.90KB\n"")",0,,,
89.75,248.39,1.95s,1504.25\nTransfer/sec:,"502.35KB\n"")",1,,,
82.22,239.85,1.82s,1500.22\nTransfer/sec:,"501.00KB\n"")",1,,,
31.53,11.85,67.97,1504.93\nTransfer/sec:,"502.57KB\n"")",0,,,
32.96,10.12,70.91,1507.01\nTransfer/sec:,"503.27KB\n"")",0,,,
33.39,10.13,71.17,1506.77\nTransfer/sec:,"503.19KB\n"")",0,,,
41.44,78.19,942.08,1504.95\nTransfer/sec:,"502.58KB\n"")",0,,,
67.99,207.58,1.82s,1502.33\nTransfer/sec:,"501.70KB\n"")",1,,,
59.51,130.13,1.95s,1492.43\nTransfer/sec:,"498.40KB\n"")",0,,,
55.37,130.32,1.69s,1488.28\nTransfer/sec:,"497.01KB\n"")",0,,,
50.16,124.15,1.75s,1483.52\nTransfer/sec:,"495.42KB\n"")",0,,,
58.87,177.95,1.80s,1481.52\nTransfer/sec:,"494.76KB\n"")",0,,,
34.06,43.04,976.9,1482.41\nTransfer/sec:,"495.05KB\n"")",0,,,
48.6,22.42,226.3,1472.89\nTransfer/sec:,"491.87KB\n"")",0,,,
33.2,10.43,661.5,1476.31\nTransfer/sec:,"493.02KB\n"")",0,,,
50.22,109.96,990.21,1479.42\nTransfer/sec:,"494.06KB\n"")",0,,,
62.53,153.28,1.83s,1474.70\nTransfer/sec:,"492.48KB\n"")",1,,,
89.18,251.08,1.86s,1484.50\nTransfer/sec:,"495.75KB\n"")",1,,,
41.56,83.77,940.54,1487.13\nTransfer/sec:,"496.63KB\n"")",0,,,
74.64,211.71,2.66s,1493.49\nTransfer/sec:,"498.75KB\n"")",1,,,
50.15,139.41,1.79s,1499.21\nTransfer/sec:,"500.67KB\n"")",0,,,
65.8,205.45,1.96s,1504.13\nTransfer/sec:,"502.31KB\n"")",1,,,
48.16,22.37,231.42,1502.52\nTransfer/sec:,"501.77KB\n"")",0,,,
32.93,10.18,69.57,1509.97\nTransfer/sec:,"504.26KB\n"")",0,,,
75.89,223.42,1.99s,1515.00\nTransfer/sec:,"505.94KB\n"")",1,,,
41.19,78.94,965.63,1522.92\nTransfer/sec:,"508.58KB\n"")",0,,,
81.81,238.16,1.83s,1535.50\nTransfer/sec:,"512.78KB\n"")",1,,,
44.89,96.98,1.69s,1548.42\nTransfer/sec:,"517.10KB\n"")",0,,,
44.79,93.81,951.81,1556.35\nTransfer/sec:,"519.75KB\n"")",0,,,
43.34,86.21,952.32,1570.34\nTransfer/sec:,"524.42KB\n"")",0,,,
85.37,239.67,1.84s,1581.40\nTransfer/sec:,"528.11KB\n"")",1,,,
32.72,10.18,90.37,1592.99\nTransfer/sec:,"531.98KB\n"")",0,,,
33.1,10.2,68.16,1603.90\nTransfer/sec:,"535.63KB\n"")",0,,,
76.81,226.14,1.87s,1607.76\nTransfer/sec:,"536.92KB\n"")",1,,,
88.05,248.42,1.84s,1612.55\nTransfer/sec:,"538.52KB\n"")",1,,,
67.1,177.88,1.96s,1624.55\nTransfer/sec:,"542.52KB\n"")",1,,,
89.31,246.91,1.83s,1639.50\nTransfer/sec:,"547.52KB\n"")",1,,,
56.5,141.94,1.80s,1653.08\nTransfer/sec:,"552.05KB\n"")",0,,,
68.24,200.15,1.83s,1668.98\nTransfer/sec:,"557.36KB\n"")",1,,,
55.01,95.27,1.03s,1682.55\nTransfer/sec:,"561.90KB\n"")",0,,,
38.82,61.35,977.92,1708.50\nTransfer/sec:,"570.56KB\n"")",0,,,
33.7,10.3,99.39,1721.23\nTransfer/sec:,"574.81KB\n"")",0,,,
32.93,10.29,97.66,1735.12\nTransfer/sec:,"579.45KB\n"")",0,,,
82.99,247.06,1.85s,1749.88\nTransfer/sec:,"584.38KB\n"")",1,,,
42.99,83.23,973.82,1762.41\nTransfer/sec:,"588.57KB\n"")",0,,,
61.18,179.37,1.82s,1773.22\nTransfer/sec:,"592.18KB\n"")",1,,,
53.76,114.51,1.19s,1787.53\nTransfer/sec:,"596.96KB\n"")",0,,,
59.53,147.49,1.79s,1799.33\nTransfer/sec:,"600.90KB\n"")",0,,,
84.03,196.38,2.03s,1804.96\nTransfer/sec:,"602.78KB\n"")",1,,,
40.41,83.89,962.56,1812.25\nTransfer/sec:,"605.21KB\n"")",0,,,
39.38,15.91,220.8,1830.71\nTransfer/sec:,"611.38KB\n"")",0,,,
168.59,678.06,7.70s,1849.77\nTransfer/sec:,"617.75KB\n"")",1,,,
104.88,257.27,1.91s,1856.76\nTransfer/sec:,"620.08KB\n"")",1,,,
82.57,233.12,1.80s,1877.24\nTransfer/sec:,"626.92KB\n"")",1,,,
47.46,96.06,1.00s,1890.85\nTransfer/sec:,"631.47KB\n"")",0,,,
61.67,155.37,1.82s,1901.64\nTransfer/sec:,"635.07KB\n"")",1,,,
34.37,21.91,531.97,1897.49\nTransfer/sec:,"633.68KB\n"")",0,,,
128.59,459.95,3.41s,1929.60\nTransfer/sec:,"644.41KB\n"")",1,,,
51.08,103.97,1.01s,1943.29\nTransfer/sec:,"648.98KB\n"")",0,,,
169.05,500.88,7.44s,1957.34\nTransfer/sec:,"653.67KB\n"")",1,,,
86.18,229.34,1.81s,1973.86\nTransfer/sec:,"659.19KB\n"")",1,,,
104.83,299.37,2.00s,1963.64\nTransfer/sec:,"655.77KB\n"")",1,,,
38.46,16.71,281.34,2003.41\nTransfer/sec:,"669.02KB\n"")",0,,,
33.48,10.35,81.79,2037.87\nTransfer/sec:,"680.52KB\n"")",0,,,
325.62,738.47,4.13s,2057.72\nTransfer/sec:,"687.15KB\n"")",1,,,
127.75,289.19,2.23s,2075.59\nTransfer/sec:,"693.12KB\n"")",1,,,
288.33,693.53,3.60s,2092.66\nTransfer/sec:,"698.82KB\n"")",1,,,
30.89,12.22,916.99,2054.36\nTransfer/sec:,"686.03KB\n"")",0,,,
40.49,21.61,228.35,2121.30\nTransfer/sec:,"708.38KB\n"")",0,,,
84.58,199.36,1.81s,2132.43\nTransfer/sec:,"712.10KB\n"")",1,,,
63.3,168.78,1.76s,2150.54\nTransfer/sec:,"718.15KB\n"")",1,,,
158.32,437.3,7.20s,2164.52\nTransfer/sec:,"722.82KB\n"")",1,,,
142.9,358.78,3.41s,2171.27\nTransfer/sec:,"725.07KB\n"")",1,,,
29.39,11.04,85.12,2193.30\nTransfer/sec:,"732.43KB\n"")",0,,,
30.75,11.23,127.81,2206.69\nTransfer/sec:,"736.90KB\n"")",0,,,
279.17,700.89,4.00s,2222.82\nTransfer/sec:,"742.29KB\n"")",1,,,
206.85,558.57,3.40s,2236.31\nTransfer/sec:,"746.80KB\n"")",1,,,
130.53,432.74,3.37s,2254.38\nTransfer/sec:,"752.83KB\n"")",1,,,
176.06,526.19,3.40s,2270.20\nTransfer/sec:,"758.11KB\n"")",1,,,
71.76,211.55,2.11s,2275.37\nTransfer/sec:,"759.84KB\n"")",1,,,
32.17,14.2,130.3,2292.91\nTransfer/sec:,"765.70KB\n"")",0,,,
99.21,258.59,1.85s,2295.80\nTransfer/sec:,"766.66KB\n"")",1,,,
119.78,310.96,1.85s,2312.50\nTransfer/sec:,"772.24KB\n"")",1,,,
92.69,258.05,1.77s,2313.11\nTransfer/sec:,"772.44KB\n"")",1,,,
87.46,253.23,1.78s,2327.25\nTransfer/sec:,"777.17KB\n"")",1,,,
114.55,328.17,2.10s,2334.08\nTransfer/sec:,"779.45KB\n"")",1,,,
28.83,15.52,123.33,2340.29\nTransfer/sec:,"781.52KB\n"")",0,,,
32.28,14.29,137.98,2346.11\nTransfer/sec:,"783.46KB\n"")",0,,,
257.12,678.68,3.45s,2352.14\nTransfer/sec:,"785.48KB\n"")",1,,,
195.97,546.31,3.94s,2358.75\nTransfer/sec:,"787.69KB\n"")",1,,,
85.18,247.52,1.78s,2362.97\nTransfer/sec:,"789.10KB\n"")",1,,,
114.3,307.27,1.85s,2366.72\nTransfer/sec:,"790.35KB\n"")",1,,,
43.11,68.49,1.04s,2299.47\nTransfer/sec:,"767.89KB\n"")",0,,,
33.23,14.92,135.68,2374.59\nTransfer/sec:,"792.98KB\n"")",0,,,
261.92,674.73,3.47s,2380.43\nTransfer/sec:,"794.93KB\n"")",1,,,
138.57,347.07,2.25s,2403.19\nTransfer/sec:,"802.53KB\n"")",1,,,
336.15,757.94,3.76s,2416.23\nTransfer/sec:,"806.89KB\n"")",1,,,
91.43,262.79,1.78s,2421.96\nTransfer/sec:,"808.80KB\n"")",1,,,
123.24,316.08,1.98s,2425.08\nTransfer/sec:,"809.84KB\n"")",1,,,
38.07,66.68,916.99,2431.01\nTransfer/sec:,"811.82KB\n"")",0,,,
32.61,14.6,132.22,2431.03\nTransfer/sec:,"811.83KB\n"")",0,,,
96.42,264.42,1.79s,2432.81\nTransfer/sec:,"812.42KB\n"")",1,,,
316.89,708.86,3.50s,2426.22\nTransfer/sec:,"810.22KB\n"")",1,,,
265.39,688.64,3.43s,2435.89\nTransfer/sec:,"813.45KB\n"")",1,,,
326.14,795.7,3.76s,2438.00\nTransfer/sec:,"814.16KB\n"")",1,,,
117.91,414.94,3.64s,2437.22\nTransfer/sec:,"813.90KB\n"")",1,,,
34.41,15.15,133.12,2426.46\nTransfer/sec:,"810.30KB\n"")",0,,,
93.16,258.84,3.33s,2425.95\nTransfer/sec:,"810.13KB\n"")",1,,,
127.97,313.92,1.97s,2421.95\nTransfer/sec:,"808.79KB\n"")",1,,,
249.38,657.76,3.42s,2423.15\nTransfer/sec:,"809.20KB\n"")",1,,,
345.63,748.78,3.60s,2422.05\nTransfer/sec:,"808.83KB\n"")",1,,,
140.73,367.48,3.37s,2423.94\nTransfer/sec:,"809.46KB\n"")",1,,,
32.93,15.62,139.65,2430.94\nTransfer/sec:,"811.80KB\n"")",0,,,
32.5,16.28,147.84,2434.87\nTransfer/sec:,"813.11KB\n"")",0,,,
92.78,262.47,1.83s,2438.92\nTransfer/sec:,"814.46KB\n"")",1,,,
97.89,265.41,1.79s,2432.38\nTransfer/sec:,"812.28KB\n"")",1,,,
120.98,310.96,1.85s,2442.57\nTransfer/sec:,"815.68KB\n"")",1,,,
160.86,508.37,3.44s,2444.88\nTransfer/sec:,"816.45KB\n"")",1,,,
44.45,68.79,1.01s,2443.22\nTransfer/sec:,"815.90KB\n"")",0,,,
32.81,15.13,123.58,2454.65\nTransfer/sec:,"819.72KB\n"")",0,,,
205.09,585.59,3.41s,2452.41\nTransfer/sec:,"818.97KB\n"")",1,,,
105.73,283.63,3.50s,2440.79\nTransfer/sec:,"815.09KB\n"")",1,,,
134.35,323.92,2.57s,2433.13\nTransfer/sec:,"812.53KB\n"")",1,,,
150.2,428.04,3.38s,2434.93\nTransfer/sec:,"813.13KB\n"")",1,,,
93.3,268.13,1.82s,2424.01\nTransfer/sec:,"809.48KB\n"")",1,,,
32.5,17.6,918.53,2356.55\nTransfer/sec:,"786.95KB\n"")",0,,,
31.98,13.51,133.12,2395.50\nTransfer/sec:,"799.96KB\n"")",0,,,
263.67,683.57,3.45s,2390.51\nTransfer/sec:,"798.30KB\n"")",1,,,
132.09,339.3,2.02s,2386.66\nTransfer/sec:,"797.01KB\n"")",1,,,
121.61,315.63,2.02s,2383.64\nTransfer/sec:,"796.00KB\n"")",1,,,
120.37,314.89,3.46s,2381.50\nTransfer/sec:,"795.29KB\n"")",1,,,
68.91,218.31,2.07s,2311.88\nTransfer/sec:,"772.03KB\n"")",1,,,
32.27,14.71,149.12,2383.64\nTransfer/sec:,"796.00KB\n"")",0,,,
257.01,678.87,3.46s,2386.56\nTransfer/sec:,"796.98KB\n"")",1,,,
114.29,266.47,1.84s,2368.74\nTransfer/sec:,"791.02KB\n"")",1,,,
143.45,354.75,3.14s,2383.64\nTransfer/sec:,"796.00KB\n"")",1,,,
122.08,359.88,3.33s,2384.68\nTransfer/sec:,"796.35KB\n"")",1,,,
94.98,264.78,1.78s,2407.36\nTransfer/sec:,"803.92KB\n"")",1,,,
37.22,58.7,915.46,2432.14\nTransfer/sec:,"812.20KB\n"")",0,,,
36.3,22.63,305.15,2434.83\nTransfer/sec:,"813.10KB\n"")",0,,,
300.34,735.33,3.93s,2438.92\nTransfer/sec:,"814.46KB\n"")",1,,,
136.28,331.3,2.01s,2423.79\nTransfer/sec:,"809.41KB\n"")",1,,,
139.1,402.28,3.37s,2415.21\nTransfer/sec:,"806.54KB\n"")",1,,,
156.93,380,3.59s,2407.22\nTransfer/sec:,"803.88KB\n"")",1,,,
38.54,25.29,324.86,2393.63\nTransfer/sec:,"799.34KB\n"")",0,,,
36.17,28.35,460.29,2409.43\nTransfer/sec:,"804.62KB\n"")",0,,,
273.82,688.34,3.50s,2392.25\nTransfer/sec:,"798.88KB\n"")",1,,,
148.14,388.58,3.60s,2388.46\nTransfer/sec:,"797.61KB\n"")",1,,,
170.38,525.43,3.41s,2373.51\nTransfer/sec:,"792.62KB\n"")",1,,,
104.08,269.58,1.80s,2357.03\nTransfer/sec:,"787.11KB\n"")",1,,,
38.57,92.88,1.69s,2273.68\nTransfer/sec:,"759.28KB\n"")",0,,,
32.28,13.75,127.36,2342.17\nTransfer/sec:,"782.15KB\n"")",0,,,
39.52,23.41,354.56,2324.83\nTransfer/sec:,"776.36KB\n"")",0,,,
219.54,599.73,3.40s,2321.66\nTransfer/sec:,"775.30KB\n"")",1,,,
253.38,674.78,3.45s,2308.45\nTransfer/sec:,"770.89KB\n"")",1,,,
125.71,321.35,1.87s,2298.72\nTransfer/sec:,"767.64KB\n"")",1,,,
117.86,312.16,2.01s,2290.88\nTransfer/sec:,"765.02KB\n"")",1,,,
36.85,55.15,918.02,2278.23\nTransfer/sec:,"760.80KB\n"")",0,,,
39.68,22.4,301.82,2282.39\nTransfer/sec:,"762.19KB\n"")",0,,,
254.48,660.65,3.43s,2283.86\nTransfer/sec:,"762.67KB\n"")",1,,,
113.85,299.05,2.01s,2303.80\nTransfer/sec:,"769.34KB\n"")",1,,,
241.21,645.83,3.43s,2335.99\nTransfer/sec:,"780.09KB\n"")",1,,,
130.91,352.91,3.36s,2341.81\nTransfer/sec:,"782.03KB\n"")",1,,,
47.75,57.36,951.81,2308.58\nTransfer/sec:,"770.93KB\n"")",0,,,
32.59,14.66,124.1,2338.23\nTransfer/sec:,"780.84KB\n"")",0,,,
100.58,257.23,1.80s,2324.54\nTransfer/sec:,"776.26KB\n"")",1,,,
343.11,801,3.45s,2327.25\nTransfer/sec:,"777.17KB\n"")",1,,,
456.53,912.9,4.07s,2300.70\nTransfer/sec:,"768.30KB\n"")",1,,,
160.29,506.38,3.44s,2273.06\nTransfer/sec:,"759.07KB\n"")",1,,,
69.08,197.59,2.22s,2245.50\nTransfer/sec:,"749.86KB\n"")",1,,,
42.84,23.19,282.37,2243.71\nTransfer/sec:,"749.27KB\n"")",0,,,
89.38,253.54,1.79s,2251.28\nTransfer/sec:,"751.79KB\n"")",1,,,
93.74,260.21,1.83s,2256.18\nTransfer/sec:,"753.43KB\n"")",1,,,
84.36,248.96,1.79s,2257.11\nTransfer/sec:,"753.74KB\n"")",1,,,
